company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,total_seats,fleet_type,scheduled_ground_time_minutes,minimum_turn_minutes,passenger_count,ssr_count,transfer_count,origin_count,total_bags,load_pct,transfer_to_checked_ratio,ground_pressure,delay_minutes,late_departure,ssr_per_pax,scheduled_departure_time,destination,aircraft_type,load_factor,transfer_bag_count,departure_date,scheduled_departure_hour,is_rush_hour_departure,is_red_eye,is_weekend,flight_duration_hours,haul_type,aircraft_category,is_express,is_international,child_count,lap_child_count,stroller_count,basic_economy_count,passenger_complexity_score,hot_transfer_count,late_bag_tags,baggage_complexity_score,operational_pressure_score,flight_date,season,weather_risk_score,crew_complexity_score,gate_pressure_score,fuel_complexity_score,boarding_complexity_score,maintenance_risk_score,revenue_complexity_score,competitive_pressure_score,security_complexity_score,master_complexity_index,ground_pressure_pos,delay_pos,delay_pos_norm,ground_pressure_pos_norm,transfer_to_checked_ratio_norm,ssr_per_pax_norm,load_pct_norm,passenger_complexity_score_norm,baggage_complexity_score_norm,operational_pressure_score_norm,master_complexity_index_norm,flight_difficulty_score,daily_rank,flights_per_day,daily_percentile,difficulty_classification
OO,4792,2025-08-04,ORD,ROA,76,ERJ-175,42.0,34.0,65,0,36,6,42,0.8552631578947368,6.0,-8.0,7.0,1,0.0,2025-08-04T17:57:00Z,ROA,ERJ-175,85.52631578947368,36,2025-08-04,17,True,False,False,0,Short,Regional,True,False,0,0,0,0,0.0,0,0,54.0,5,2025-08-04,Summer,0.8,0.0,2.0,0.24,1.0,1.0,1.026315789473684,1.0,1.0,0.2362352916962473,0.0,7.0,0.01818181818181818,0.0,0.660377358490566,0,0.6815246296061797,0,0.09749303621169916,0.0,0.2362352916962473,0.10307121814472503,270.0,579,0.46632124352331605,Medium
UA,920,2025-08-03,ORD,LHR,167,B767-300,235.0,145.0,171,0,53,90,143,1.0239520958083832,0.5888888888888889,-90.0,22.0,1,0.0,2025-08-03T18:05:00Z,LHR,B767-300,102.39520958083833,53,2025-08-03,18,True,False,True,0,Short,Wide Body,False,True,0,0,0,0,0.0,0,0,79.5,5,2025-08-03,Summer,1.6,3.5,3.0,1.2,2.5,1.3,2.4574850299401194,1.8,3.0,0.9884290260025499,0.0,22.0,0.1494949494949495,0.0,0.014058453570107288,0,0.9131677490547949,0,0.10584958217270195,0.0,0.9884290260025499,0.21572928805722655,10.0,548,0.01824817518248175,Difficult
UA,1776,2025-08-10,ORD,PHL,166,B737-800,76.0,51.0,180,0,39,46,85,1.0843373493975903,0.8478260869565217,-25.0,111.0,1,0.0,2025-08-10T18:20:00Z,PHL,B737-800,108.43373493975903,39,2025-08-10,18,True,False,True,0,Short,Narrow Body,False,False,0,0,0,0,0.0,0,0,58.5,3,2025-08-10,Summer,0.8,1.5,2.0,0.288,1.5,1.0,1.3012048192771084,1.0,1.0,0.3289564172887699,0.0,111.0,0.0,0.0,0.0023584905660377358,0,0.6966973885156938,0,0.019498607242339833,0.0,0.3289564172887699,0.08071071906988797,389.0,585,0.6649572649572649,Easy
OO,5790,2025-08-06,ORD,CRW,50,CRJ-200,223.0,29.0,55,0,40,14,54,1.1,2.857142857142857,-194.0,105.0,1,0.0,2025-08-06T18:20:00Z,CRW,CRJ-200,110.00000000000001,40,2025-08-06,18,True,False,False,0,Short,Regional,True,False,0,0,0,0,0.0,0,0,60.0,2,2025-08-06,Summer,0.8,0.0,2.0,0.24,1.0,1.0,1.32,1.0,1.0,0.16550242669038,0.0,105.0,0.0,0.0,0.10377358490566038,0,0.6815246296061797,0,0.06128133704735376,0.5,0.16550242669038,0.12715945176933527,132.0,502,0.26294820717131473,Difficult
UA,1398,2025-08-05,ORD,ATL,166,B737-800,75.0,51.0,136,0,51,19,70,0.8192771084337349,2.6842105263157894,-24.0,-4.0,0,0.0,2025-08-05T18:20:00Z,ATL,B737-800,81.92771084337349,51,2025-08-05,18,True,False,False,0,Short,Narrow Body,False,False,0,0,0,0,0.0,0,0,76.5,2,2025-08-05,Summer,0.8,0.0,2.0,0.288,1.5,1.0,0.9831325301204819,1.0,1.0,0.18612906257168113,0.0,0.0,0.012121212121212121,0.0,0.017459870459025625,0,0.7413231500142651,0,0.17270194986072424,0.0,0.18612906257168113,0.07639275803948313,357.0,529,0.6748582230623819,Easy
OO,5470,2025-08-07,ORD,GEG,76,ERJ-175,49.0,34.0,73,0,26,14,40,0.9605263157894737,1.8571428571428572,-15.0,-4.0,0,0.0,2025-08-07T08:40:00Z,GEG,ERJ-175,96.05263157894737,26,2025-08-07,8,True,False,False,0,Short,Regional,True,False,0,0,0,0,0.0,0,0,39.0,2,2025-08-07,Summer,0.8,0.0,2.0,0.24,1.0,1.0,1.1526315789473685,1.0,1.0,0.15801597268077253,0.0,0.0,0.0,0.0,0.008238107892638851,0,0.9019758914091215,0,0.08635097493036212,0.0,0.15801597268077253,0.06972632374152148,420.0,566,0.7420494699646644,Easy
UA,374,2025-08-15,ORD,MSP,126,A319-100,54.0,43.0,128,0,62,21,83,1.0158730158730158,2.9523809523809526,-11.0,28.0,1,0.0,2025-08-15T16:10:00Z,MSP,A319-100,101.58730158730158,62,2025-08-15,16,False,False,False,0,Short,Narrow Body,True,False,0,0,0,0,0.0,0,0,93.0,0,2025-08-15,Summer,0.8,0.0,1.0,0.288,1.5,1.0,1.219047619047619,1.0,1.0,0.08485567148637527,0.0,28.0,0.12323232323232323,0.27403846153846156,0.02641509433962264,0,0.5629986070659745,0,0.07799442896935933,0.5,0.08485567148637527,0.15880998455336479,62.0,556,0.11151079136690648,Difficult
UA,1577,2025-08-15,ORD,SFO,234,B757-300,123.0,66.0,261,0,66,83,149,1.1153846153846154,0.7951807228915663,-57.0,-1.0,0,0.0,2025-08-15T14:40:00Z,SFO,B757-300,111.53846153846155,66,2025-08-15,14,False,False,False,0,Short,Unknown,False,False,0,0,0,0,0.0,0,0,99.0,0,2025-08-15,Summer,0.8,0.0,1.0,0.36000000000000004,1.5,1.0,1.3384615384615384,2.5,1.0,0.1605132682974267,0.0,0.0,0.10909090909090909,0.17307692307692307,0.029350104821802937,0,0.6667088767886541,0,0.07799442896935933,0.8333333333333334,0.1605132682974267,0.2025154220268526,22.0,556,0.039568345323741004,Difficult
UA,881,2025-08-03,ORD,HND,318,B787-10,365.0,155.0,370,0,246,102,348,1.1635220125786163,2.411764705882353,-210.0,25.0,1,0.0,2025-08-03T12:50:00Z,HND,B787-10,116.35220125786164,246,2025-08-03,12,False,False,True,0,Short,Wide Body,False,False,0,0,0,0,0.0,0,0,369.0,1,2025-08-03,Summer,0.8,1.5,1.5,0.6,2.5,1.0,1.3962264150943395,1.0,1.0,0.33038875561694586,0.0,25.0,0.0,0.0,0.036163522012578615,0,0.5629986070659745,0,0.06406685236768803,0.0,0.33038875561694586,0.08046838627963387,344.0,548,0.6277372262773723,Medium
UA,2006,2025-08-09,ORD,GUA,166,B737-MAX8,90.0,65.0,188,0,59,131,190,1.1325301204819278,0.45038167938931295,-25.0,10.0,1,0.0,2025-08-09T09:14:00Z,GUA,B737-MAX8,113.25301204819279,59,2025-08-09,9,False,False,True,0,Short,Narrow Body,True,False,0,0,0,0,0.0,0,0,88.5,1,2025-08-09,Summer,0.8,1.5,2.0,0.288,1.5,1.0,1.3590361445783132,1.0,1.0,0.2756302527787957,0.0,10.0,0.23030303030303031,0.0,0.03218645948945616,0,0.8444979105989617,0,0.0807799442896936,0.3333333333333333,0.2756302527787957,0.15733355527383744,52.0,535,0.09719626168224299,Difficult
